N dim alpha_a alpha_g N_samples short_mean short_err diameter_mean diameter_err ass_coeff_mean ass_coeff_err
10000 1 8.0 3.0 26 16.499280769230772 0.20414424968025627 38.76923076923077 0.5637994523633444 0.04593748461538461 0.001411606932756395
10000 1 4.0 4.0 26 15.841142307692307 0.15952115598040734 38.5 0.6708203932499369 0.021076435769230774 0.0014423084135614709
10000 1 1.0 9.0 26 13.019069230769231 0.21858987898093413 31.923076923076923 0.6608225106127548 -0.09259031153846155 0.0032861065399149183
10000 1 0.0 2.0 1271 9.281426459480723 0.013933093609217847 24.777340676632573 0.05086334930234699 -0.060303124783634934 0.00037565806113389944
10000 1 9.0 3.0 26 16.4609 0.1859909499866138 40.26923076923077 0.9712128694935127 0.04959397307692307 0.0013434757690816265
10000 1 36.0 2.0 51 16.877833333333335 0.13968367220165195 40.254901960784316 0.736096294454555 0.06594079215686274 0.001097366239680685
10000 1 16.0 2.0 51 16.77051568627451 0.17977459061383763 41.254901960784316 0.6720429125274326 0.05892966078431373 0.0008841155182843492
10000 1 6.0 8.0 26 17.87798846153846 0.29631969608344 42.69230769230769 1.0103605308833397 0.03815007307692307 0.0009768456770734874
10000 1 8.0 7.0 26 17.83336923076923 0.31528721395769777 42.42307692307692 0.8079852948453894 0.04440656923076923 0.001538451585706268
10000 1 6.0 6.0 26 16.921592307692308 0.23447910977464503 39.84615384615385 0.6194099119753045 0.0376558 0.0016755486286449124
10000 1 0.0 3.0 26 9.315810384615384 0.109736927667919 24.76923076923077 0.39732835600446026 -0.062362557692307696 0.0031946486411168823
10000 1 4.0 7.0 26 16.658046153846154 0.319660622835713 39.76923076923077 0.7791666007446523 0.02148392192307693 0.0016263106833817283
10000 1 1.0 4.0 26 11.924088461538464 0.19526390271211644 29.73076923076923 0.5100759892338587 -0.08359666153846154 0.0037169629210794253
10000 1 7.0 8.0 26 17.6295 0.36542104739180403 42.5 1.2809251464348848 0.042795811538461535 0.0012153882649694476
10000 1 1.0 2.0 1322 11.410909039334342 0.021369330784540667 28.726172465960666 0.061703092243563455 -0.08134110975794251 0.0005248426455806873
10000 1 2.0 0.1 26 19.882942307692307 0.6190850515241909 51.88461538461539 1.4980263149346498 -0.0738571923076923 0.0034965640226411417
10000 1 7.0 4.0 26 16.58069230769231 0.19605556323286577 39.73076923076923 0.7952893857587889 0.04254688076923077 0.0012553104656742734
10000 1 4.0 8.0 26 16.77911153846154 0.2935426229476432 40.0 0.9281909617845142 0.022946987692307692 0.0015478457360992763
10000 1 6.0 2.0 1322 15.916641603630861 0.03060672747353649 38.552193645990926 0.1234975630392981 0.038612631346444784 0.00022160555810823784
10000 1 9.0 7.0 26 17.931896153846154 0.40733698846119915 43.07692307692308 1.3631672135402193 0.045204284615384616 0.0012672679082267105
10000 1 4.0 9.0 26 17.20874230769231 0.36249587478493417 40.46153846153846 0.926915097316435 0.020140441923076922 0.001681717005132554
