N dim alpha_a alpha_g N_samples short_mean short_err diameter_mean diameter_err ass_coeff_mean ass_coeff_err
5000 2 2.0 3.0 20002 10.258823697130287 0.004133927084441 25.29267073292671 0.0138249084501102 -0.1057392623537646 0.0001347720532853
5000 2 2.0 4.0 20002 10.474038960603938 0.0040975030557165 25.610338966103388 0.0138995853901269 -0.1110247808619138 0.0001332572761954
5000 2 2.0 6.0 20002 10.832618679632038 0.0042075110900192 26.195730426957304 0.0141676278603959 -0.1188353013448655 0.0001319820099185
5000 4 2.0 6.0 20002 8.416874502049795 0.0039336872440738 22.345715428457154 0.012706759007102 -0.0803742708329167 0.0001166826948818
5000 2 2.0 7.0 20001 10.985126372181393 0.0042467233100011 26.46672666366681 0.0141675767326368 -0.122009620498975 0.0001306855671248
5000 2 2.0 2.0 20002 10.083498755124488 0.0047660803449299 25.13728627137286 0.0146754973727197 -0.0995912379162083 0.000139902570826
5000 2 2.0 5.0 20002 10.667382644235577 0.0041316053546301 25.92065793420658 0.0139493197630841 -0.1153927452404759 0.0001316615031876
5000 2 2.0 9.0 20002 11.217521688831116 0.0043620087676149 26.84136586341366 0.0143207322152337 -0.1269719625337466 0.0001300099215174
5000 2 2.0 8.0 20002 11.109922357764225 0.0043161778226894 26.677332266773323 0.0142338808694845 -0.1244130612638736 0.0001286151836084
5000 2 2.0 1.0 20002 12.460406621837816 0.014132639148987 31.05914408559144 0.0312626130359257 -0.1123337864663533 0.0001993585157077
5000 4 2.0 7.0 20002 8.452376708829119 0.0038693185084504 22.436756324367565 0.0126574961680169 -0.0791541489651034 0.0001151092282618
5000 3 2.0 6.0 20001 9.136366512674368 0.0036725707369782 23.363981800909954 0.0130054632412587 -0.0935334095345232 0.0001345061395411
5000 3 2.0 7.0 20002 9.21107201429857 0.0036734339831977 23.48540145985401 0.0129149360391672 -0.0933962729527047 0.0001351867746548
5000 3 2.0 2.0 20002 8.811609740525947 0.0049993855024994 22.74962503749625 0.0139045425691449 -0.100021907919208 0.0001553920897949
